,Bed,Bath,m²,Price,Address,Property_type,New_build,Page,County,Province
1153,4.0,3.0,124.0,259000.0,"48 Abbey Court, Ennis, Co. Clare",Semi-D,no,51,Clare,Munster
1154,3.0,3.0,,295000.0,"9 The Grove, Inse Bay, Laytown, Co. Meath",Semi-D,no,51,Meath,Leinster
1155,2.0,1.0,,109000.0,"Apartment 20, North Court, Quayside Shopping Centre, Sligo, Co. Sligo",Apartment,no,51,Sligo,Connaught
1156,3.0,2.0,107.0,189500.0,"15 Cluain Aoibhinn, Claremorris, Co. Mayo",Semi-D,no,51,Mayo,Connaught
1157,2.0,1.0,60.0,335000.0,"6 Slaney House, Custom House Square, Dublin 1",Apartment,no,51,Dublin 1,Leinster
1158,3.0,3.0,100.0,325000.0,"26 Mornington Court, Mornington, Co. Meath",Semi-D,no,51,Meath,Leinster
1159,2.0,1.0,,225000.0,"130 New Seskin Court, Tallaght, Dublin 24",Apartment,no,51,Dublin 24,Leinster
1160,1.0,1.0,,265000.0,"4 Beresford House, Custom House Square, Dublin 1",Apartment,no,51,Dublin 1,Leinster
1161,4.0,3.0,,159000.0,"42 Fort Haven, Coolaney, Co. Sligo",Semi-D,no,51,Sligo,Connaught
1162,4.0,2.0,143.0,333000.0,"20 Griffith Street, Athlone, Co. Westmeath",Detached,no,51,Westmeath,Leinster
1163,5.0,3.0,137.0,450000.0,"20 Turnapin Grove, Santry, Dublin 9",Bungalow,no,51,Dublin 9,Leinster
1164,3.0,1.0,,195000.0,"33 Saint James Gardens, Killorglin, Co. Kerry",Semi-D,no,51,Kerry,Munster
1165,3.0,3.0,96.0,310000.0,"42 Castan, Doughiska, Co. Galway",Semi-D,no,51,Galway,Connaught
1166,4.0,,104.0,250000.0,"Ballynahown, Furbo, Co. Galway",Detached,no,51,Galway,Connaught
1167,2.0,,76.0,40000.0,"7 St. Bridgets Terrace, Bundoran, Co. Donegal",Terrace,no,51,Donegal,Ulster
1168,2.0,2.0,81.0,635000.0,"77 The Campion, Marina Village, Greystones, Co. Wicklow",Apartment,no,51,Wicklow,Leinster
1169,3.0,3.0,106.0,247000.0,"6 Fairlands, Roscommon Road, Athlone, Co. Westmeath",Semi-D,no,51,Westmeath,Leinster
1170,3.0,3.0,109.0,170000.0,"2 Westbury Wood, Enniscorthy, Co. Wexford",Terrace,no,52,Wexford,Leinster
1171,3.0,1.0,77.0,150000.0,"93 Springfield Court, Castlebar, Co. Mayo",Terrace,no,52,Mayo,Connaught
1172,3.0,3.0,102.0,400000.0,"9 Camden Avenue, Royal Canal Park, Royal Canal Park, Dublin 15",Terrace,no,52,Dublin 15,Leinster
1173,4.0,3.0,144.0,725000.0,"18 Botanika, Blackrock Road, Blackrock, Co. Cork",Semi-D,no,52,Cork,Munster
1174,3.0,2.0,123.0,265000.0,"27 Parklands, Wexford Town, Co. Wexford",Semi-D,no,52,Wexford,Leinster
1175,2.0,1.0,,135000.0,"Apartment 5, Park Court, Tullamore, Co. Offaly",Apartment,no,52,Offaly,Leinster
1176,4.0,1.0,119.0,670000.0,"69 Old Cabra Road, Cabra, Dublin 7",Semi-D,no,52,Dublin 7,Leinster
1177,15.0,15.0,697.0,950000.0,"WESTFIELD HOUSE, Westfield House, Killorglin, Co. Kerry",Detached,no,52,Kerry,Munster
1178,2.0,1.0,93.0,525000.0,"14 St. Mary's Avenue, Rathfarnham, Dublin 14",Terrace,no,52,Dublin 14,Leinster
1179,3.0,2.0,62.0,280000.0,"81 Claremont Park, Circular Road, Rahoon, Co. Galway",Semi-D,no,52,Galway,Connaught
