,Date,Address,Price,Page
137,2022-12-02,"30 A Woodfield Park, Killeline, Newcastle West, Co. Limerick, V42kx74",166792,7
138,2022-12-02,"37 Templegreen, Newcastle, Co. Limerick, V42nf22",120000,7
139,2022-12-02,"44 Knocklyon, Clonmacken, Co. Limerick, V94de04",210000,7
140,2022-12-02,"17 THE CRESENT APTS, OLD FORT ROAD, Ballincollig, Co. Cork, P31NH66",305000,8
141,2022-12-01,"4 Cannon Court, Mountcharles, Co. Donegal, F94c430",159500,8
142,2022-12-01,"Gortnamuck, Castkefin, Co. Donegal, F93c3kx",105000,8
143,2022-12-01,"14 Cella Row, Church Hill Meadows, Raheen, Co. Cork, V94p6fw",310000,8
144,2022-12-01,"16 Hillside Dr, Athea, Co. Limerick, V94dyf9",95000,8
145,2022-12-01,"3 Cois Rioga, Caherconlish, Co. Limerick, V94xd8v",375000,8
146,2022-12-01,"33 Laurel Park, Patrickswell, Co. Limerick, V94p8kp",235000,8
147,2022-12-01,"9 Tobar Phádraig, Slí na Manach, Mungret, Co. Limerick, V940D85",296337,8
148,2022-12-01,"Ballynashig, Ballingarry, Co. Limerick",90000,8
149,2022-12-01,"Glebe Rd Kilfinane, Kilfinane, Co. Limerick",110000,8
150,2022-12-01,"Main St, Pallaskenry, Co. Limerick, V94x6xf",95000,8
151,2022-12-01,"10 Cois Callow, Harbour Road, Banagher, Co. Offaly, R42yw74",295000,8
152,2022-12-01,"8 The Sycamores, Edenderry, Co. Offaly, R45ey23",340000,8
153,2022-12-01,"Graftonstown, Delvin, Co. Westmeath, N91f893",255000,8
154,2022-12-01,"25 Vartry Avenue, Tinakilly Park, Rathnew, Co. Wicklow",339207,8
155,2022-12-01,"26 Archers Wood Park, Archers Wood, Delgany, Co. Wicklow",533161,8
156,2022-12-01,"40 Sidbury Court, Sidmonton Ave, Bray, Co. Wicklow, A98e449",321000,8
157,2022-12-01,"53 Rockfield Meadow, Newtownmountkennedy, Co. Wicklow",348338,8
158,2022-12-01,"Apt 15, The Printworks, Bray, Co. Wicklow, A98a742",170000,8
159,2022-12-01,"Claren House, Killarney Rd, Bray, Co. Wicklow, A98p1h2",1365000,8
160,2022-12-01,"23 FRIAR STREET, CO. CORK, P36AH24, Youghal, Co. Cork",225000,9
161,2022-12-01,"17 Kilheale Heights, Kilheale Manor, Kill, Co. Kildare",374450,9
162,2022-12-01,"38 O GROWNEY TERRACE, MEATH, Kells, Co. Meath, A82H6P3",217000,9
163,2022-12-01,"701  702  703  704 705  706 707, 708  709 & 710  Dunboyne Castle, Hotel & Spa  Dunboyne, Co. Meath, A86KW94",1975000,9
164,2022-12-01,"10 The Way, Ravens Mill, Church Road, Dublin",387665,9
165,2022-12-01,"12 HANSTED PLACE, FINNSTOWN, Lucan, Co. Dublin, K78K652",350000,9
166,2022-12-01,"28 ARKLOW ST, DUBLIN 7, D07K2R2, Dublin 7, Dublin",405000,9
167,2022-12-01,"43 LAVARNA GROVE, Terenure, Dublin 6, D6WE199",884000,9
168,2022-12-01,"12 Greenhills Est, Brownshill Rd, Carlow Town, Co. Carlow, R93c7w9",236000,9
169,2022-12-01,"3 Park Wood Phelim Wood, Tullow, Co. Carlow, R93dh51",175000,9
170,2022-12-01,"116 Westpoint Avenue, The Mullans, Donegal Town, Co. Donegal",249388,9
171,2022-12-01,"130 Westpoint Avenue, The Mullans, Donegal Town, Co. Donegal",265000,9
172,2022-11-30,"11 KILLENARD, LAOIS, Portarlington, Co. Laois, R32N9F5",170000,9
173,2022-11-30,"4 ASCAIL BHRIDE, AN TSRAID NUA, LUIMHEACH, Co. Limerick, V941K03",252000,9
174,2022-11-30,"COOLE, CROGHAN, R35PY64, Rhode, Co. Offaly",35000,9
175,2022-11-30,"4 BRIDE PLACE, WEXFORD, Y35K79C, Co. Wexford",198000,9
176,2022-11-30,"5 BROOKLYN COURT, CASTLETOWN, Gorey, Co. Wexford, Y25NN73",440000,9
177,2022-11-30,"RAHEENACLONAGH, CO WEXFORD, Adamstown, Co. Wexford, Y21E289",219281,9
178,2022-11-30,"APARTMENT 56 THE CAMPION, MARINA VILLAGE, Greystones, Co. Wicklow, A63KR74",565000,9
179,2022-11-30,"BALLYKEANE FARMHOUSE, COUNTY WICKLOW, Redcross, Co. Wicklow, A67TR27",975000,9
